0
0 1 2 3 4 5 6 7 8 9 
10 11 12 13 14 15 16 17 18 19 
20 21 22 23 24 25 26 27 28 29 
30 31 32 33 34 35 36 37 38 39 
40 41 42 43 44 45 46 47 48 49 
50 51 52 53 54 55 56 57 58 59 
60 61 62 63 64 65 66 67 68 69 
70 71 72 73 74 75 76 77 78 79 
80 81 82 83 84 85 86 87 88 89 
90 91 92 93 94 95 96 97 98 99 

0 17 29 34 46 56 69 74 88 94 
1 15 22 31 44 50 68 78 82 95 
2 19 27 37 41 54 60 72 83 97 
3 10 24 30 40 52 67 70 85 90 
4 12 26 32 42 55 65 76 80 98 
5 13 21 39 45 53 66 75 87 92 
6 11 25 36 48 57 63 79 89 96 
7 16 23 38 43 59 62 73 86 93 
8 14 28 35 49 51 61 77 84 91 
9 18 20 33 47 58 64 71 81 99 

0 14 20 30 44 54 62 79 87 98 
1 12 28 38 41 52 69 75 81 96 
2 13 23 31 46 51 63 70 80 99 
3 18 21 37 42 57 61 78 86 94 
4 16 24 33 48 56 66 72 82 91 
5 17 27 36 47 59 65 77 85 95 
6 19 22 35 45 55 67 71 88 93 
7 15 29 39 49 58 60 76 89 90 
8 11 26 34 40 50 64 73 83 92 
9 10 25 32 43 53 68 74 84 97 

