0
0 1 2 3 4 5 6 
7 8 9 10 11 12 13 
14 15 16 17 18 19 20 
21 22 23 24 25 26 27 
28 29 30 31 32 33 34 
35 36 37 38 39 40 41 
42 43 44 45 46 47 48 
49 50 51 52 53 54 55 
56 57 58 59 60 61 62 
63 64 65 66 67 68 69 

0 11 16 28 49 56 68 
1 7 18 25 44 62 64 
2 8 27 33 38 45 51 
3 15 22 29 37 55 59 
4 12 23 30 39 47 54 
5 10 14 26 46 52 63 
6 21 31 41 43 57 65 
20 24 40 48 53 61 66 
13 17 32 36 50 58 69 
9 19 34 35 42 60 67 

0 9 21 29 39 46 53 
1 19 26 32 41 49 59 
2 15 23 34 50 56 66 
3 8 14 40 47 62 67 
4 11 17 43 52 60 64 
5 7 24 28 37 51 65 
6 18 30 35 45 55 58 
12 16 27 36 48 57 63 
10 20 25 31 38 42 69 
13 22 33 44 54 61 68 

0 12 17 41 44 51 67 
1 8 15 28 48 60 69 
2 13 24 39 42 59 64 
3 18 23 33 36 46 49 
4 14 27 31 35 50 61 
5 9 25 32 43 55 56 
6 16 26 29 38 54 66 
10 22 34 47 53 58 65 
7 19 30 40 52 57 68 
11 20 21 37 45 62 63 

0 18 24 38 47 60 63 
1 10 16 39 43 50 67 
2 9 22 31 48 52 62 
3 11 26 35 51 57 69 
4 19 21 28 44 55 66 
5 12 15 33 40 58 64 
6 23 32 37 42 53 68 
8 17 25 29 49 61 65 
7 14 34 36 45 54 59 
13 20 27 30 41 46 56 

