0
0 1 2 
3 4 5 
6 7 8 
9 10 11 
12 13 14 
15 16 17 
18 19 20 
21 22 23 

0 11 13 
1 4 21 
2 8 22 
12 17 18 
7 14 20 
5 15 19 
10 16 23 
3 6 9 

0 10 18 
1 17 23 
2 13 20 
4 16 19 
3 8 21 
7 9 22 
5 11 12 
6 14 15 

0 16 21 
1 3 14 
2 11 15 
4 7 10 
5 8 18 
9 13 19 
12 20 23 
6 17 22 

0 8 15 
1 6 18 
2 14 19 
5 9 21 
4 17 20 
7 11 23 
13 16 22 
3 10 12 

0 7 19 
1 9 20 
2 3 23 
8 14 17 
10 15 21 
11 16 18 
5 6 13 
4 12 22 

0 6 23 
1 7 13 
2 12 21 
4 11 14 
8 16 20 
3 17 19 
9 15 18 
5 10 22 

0 5 14 
1 15 22 
2 7 18 
4 8 23 
9 12 16 
3 11 20 
10 13 17 
6 19 21 

0 4 9 
1 8 12 
2 5 17 
11 19 22 
13 15 23 
6 10 20 
3 7 16 
14 18 21 

0 20 22 
1 5 16 
2 4 6 
9 14 23 
11 17 21 
7 12 15 
8 10 19 
3 13 18 

