0
0 1 2 3 4 5 6 7 
8 9 10 11 12 13 14 15 
16 17 18 19 20 21 22 23 
24 25 26 27 28 29 30 31 
32 33 34 35 36 37 38 39 
40 41 42 43 44 45 46 47 
48 49 50 51 52 53 54 55 
56 57 58 59 60 61 62 63 
64 65 66 67 68 69 70 71 

0 12 17 34 45 53 61 68 
1 8 22 29 39 40 59 65 
2 11 16 25 33 46 50 60 
3 21 28 32 47 51 58 70 
4 13 18 26 35 52 62 67 
5 9 27 36 41 55 57 66 
6 15 23 31 44 49 63 69 
7 14 20 24 38 43 48 71 
10 19 30 37 42 54 56 64 

0 8 23 24 36 42 62 70 
1 13 19 31 32 53 60 71 
2 15 21 27 37 43 52 65 
3 10 25 34 44 55 59 67 
4 16 29 38 45 54 58 66 
5 14 22 28 46 49 61 64 
6 12 18 30 33 47 48 57 
7 9 17 35 40 50 56 69 
11 20 26 39 41 51 63 68 

