11
0 1 2 3 4 
5 6 7 8 9 
10 11 12 13 14 
15 16 17 18 19 
20 21 22 23 24 
25 26 27 28 29 

0 9 12 18 24 
1 5 11 19 27 
2 8 10 23 26 
3 6 16 22 28 
4 14 17 21 25 
7 13 15 20 29 

0 7 14 23 27 
1 6 20 24 25 
2 5 13 18 28 
3 10 12 17 29 
4 15 19 22 26 
8 9 11 16 21 

0 5 17 20 26 
1 10 15 21 28 
2 9 14 22 29 
3 8 13 24 27 
4 6 11 18 23 
7 12 16 19 25 

0 10 11 22 25 
1 9 13 17 23 
2 6 12 15 27 
3 7 18 21 26 
4 5 16 24 29 
8 14 19 20 28 

0 6 19 21 29 
1 8 12 18 22 
2 13 14 16 26 
3 5 15 23 25 
4 9 10 20 27 
7 11 17 24 28 

