0
0 1 2 
3 4 5 
6 7 8 
9 10 11 
12 13 14 
15 16 17 
18 19 20 

0 14 17 
1 16 20 
2 5 6 
3 10 13 
7 15 19 
4 11 18 
8 9 12 

0 3 15 
1 7 12 
2 9 13 
4 10 16 
8 14 18 
6 17 20 
5 11 19 

0 6 9 
1 4 8 
2 15 18 
11 12 17 
7 13 20 
5 10 14 
3 16 19 

0 5 18 
1 3 14 
2 12 20 
4 13 19 
7 9 17 
8 10 15 
6 11 16 

0 7 11 
1 13 17 
2 3 8 
5 15 20 
4 6 14 
9 16 18 
10 12 19 

0 10 20 
1 6 19 
2 4 7 
9 14 15 
5 12 16 
3 17 18 
8 11 13 

0 8 19 
1 5 9 
2 10 17 
6 13 18 
4 12 15 
7 14 16 
3 11 20 

0 13 16 
1 11 15 
2 14 19 
4 9 20 
5 8 17 
3 6 12 
7 10 18 

