2
0 1 2 3 
4 5 6 7 
8 9 10 11 
12 13 14 15 
16 17 18 19 
20 21 22 23 
24 25 26 27 

0 8 13 26 
1 9 14 22 
2 7 21 24 
3 4 19 27 
6 10 15 16 
5 11 18 20 
12 17 23 25 

0 11 19 25 
1 4 13 17 
2 16 20 27 
3 15 18 23 
5 10 14 24 
7 8 12 22 
6 9 21 26 

0 6 18 22 
1 12 20 26 
2 4 10 25 
3 5 13 16 
8 15 17 24 
7 9 19 23 
11 14 21 27 

0 14 16 23 
1 7 10 27 
2 11 17 22 
3 9 12 24 
4 8 18 21 
6 13 20 25 
5 15 19 26 

0 4 9 15 
1 16 21 25 
2 5 8 23 
3 10 17 20 
7 14 18 26 
13 19 22 24 
6 11 12 27 

0 5 17 27 
1 6 23 24 
2 9 13 18 
3 8 14 25 
7 11 15 20 
4 16 22 26 
10 12 19 21 

