4
0 1 2 3 4 5 6 7 
8 9 10 11 12 13 14 15 
16 17 18 19 20 21 22 23 
24 25 26 27 28 29 30 31 
32 33 34 35 36 37 38 39 
40 41 42 43 44 45 46 47 
48 49 50 51 52 53 54 55 
56 57 58 59 60 61 62 63 

0 12 17 30 33 46 55 62 
1 14 23 25 39 41 49 63 
2 9 20 24 35 42 50 60 
3 13 18 27 34 47 53 61 
4 11 19 28 32 44 52 58 
5 8 16 26 36 43 48 57 
6 15 21 29 38 45 51 59 
7 10 22 31 37 40 54 56 

0 10 18 24 36 44 49 59 
1 9 21 28 37 46 53 57 
2 8 23 30 32 40 51 61 
3 11 22 25 33 45 48 60 
4 12 20 27 38 43 54 63 
5 14 19 29 35 47 55 56 
6 13 16 31 39 42 52 62 
7 15 17 26 34 41 50 58 

0 11 16 30 38 41 53 56 
1 12 19 31 36 45 50 61 
2 14 22 28 34 43 52 59 
3 10 21 26 32 42 55 63 
4 15 23 24 37 47 48 62 
5 9 17 27 39 44 51 60 
6 8 18 25 35 46 54 58 
7 13 20 29 33 40 49 57 

