2
0 1 2 3 
4 5 6 7 
8 9 10 11 
12 13 14 15 
16 17 18 19 
20 21 22 23 
24 25 26 27 
28 29 30 31 
32 33 34 35 

0 20 25 32 
1 14 29 34 
2 7 18 28 
3 8 17 31 
4 11 21 27 
15 19 30 35 
5 13 23 24 
6 9 12 33 
10 16 22 26 

0 11 13 30 
1 9 15 18 
2 6 25 34 
3 7 14 32 
5 26 28 35 
22 24 29 33 
10 17 23 27 
12 19 21 31 
4 8 16 20 

0 17 26 34 
1 7 19 33 
2 15 22 31 
3 5 20 29 
8 12 23 35 
11 24 28 32 
4 10 13 18 
6 16 27 30 
9 14 21 25 

0 7 16 31 
1 6 23 26 
2 10 12 32 
3 9 13 35 
5 11 14 33 
4 17 22 25 
8 19 27 29 
15 21 28 34 
18 20 24 30 

0 14 18 27 
1 5 16 21 
2 13 19 26 
3 10 30 34 
23 25 31 33 
6 8 15 24 
4 9 29 32 
7 11 22 35 
12 17 20 28 

0 4 23 28 
1 11 17 24 
2 16 29 35 
3 15 26 33 
5 9 27 31 
10 14 19 20 
8 13 22 34 
6 18 21 32 
7 12 25 30 

0 5 10 15 
1 22 27 32 
2 14 17 30 
3 4 12 24 
7 8 21 26 
11 18 25 29 
13 16 28 33 
9 19 23 34 
6 20 31 35 

0 9 22 30 
1 8 25 28 
2 20 27 33 
3 6 11 19 
10 21 24 35 
7 13 17 29 
15 16 23 32 
4 14 26 31 
5 12 18 34 

