1
0 1 2 3 4 
5 6 7 8 9 
10 11 12 13 14 
15 16 17 18 19 
20 21 22 23 24 
25 26 27 28 29 
30 31 32 33 34 
35 36 37 38 39 
40 41 42 43 44 

0 10 24 30 38 
1 25 34 39 43 
2 11 20 29 35 
3 6 19 31 40 
4 5 26 32 36 
9 13 17 22 28 
7 15 27 37 44 
8 12 16 21 41 
14 18 23 33 42 

0 7 11 32 43 
1 17 27 31 36 
2 5 10 16 28 
3 12 26 33 38 
4 6 18 20 30 
19 21 34 37 42 
13 15 29 39 41 
9 23 25 35 44 
8 14 22 24 40 

0 9 14 29 36 
1 12 19 20 32 
2 18 31 38 44 
3 17 23 37 43 
4 24 28 34 41 
5 15 21 25 33 
8 11 27 30 42 
7 13 16 35 40 
6 10 22 26 39 

0 19 26 35 41 
1 8 13 18 37 
2 14 21 27 43 
3 22 25 32 42 
4 10 17 33 44 
5 12 23 29 30 
6 11 16 24 36 
7 20 28 31 39 
9 15 34 38 40 

0 12 18 27 34 
1 6 14 28 35 
2 7 25 30 36 
3 5 13 20 44 
4 8 19 23 38 
16 22 29 33 43 
15 24 26 31 42 
9 10 32 37 41 
11 17 21 39 40 

0 20 33 37 40 
1 21 26 30 44 
2 9 19 24 39 
3 8 10 34 35 
4 14 16 25 31 
6 13 23 27 32 
7 17 29 38 42 
12 15 28 36 43 
5 11 18 22 41 

