3
0 1 2 3 4 5 6 
7 8 9 10 11 12 13 
14 15 16 17 18 19 20 
21 22 23 24 25 26 27 
28 29 30 31 32 33 34 
35 36 37 38 39 40 41 
42 43 44 45 46 47 48 
49 50 51 52 53 54 55 
56 57 58 59 60 61 62 

0 8 14 23 32 46 60 
1 11 17 34 38 49 56 
2 13 15 22 31 50 59 
3 20 30 35 45 51 61 
4 19 24 40 43 55 58 
5 7 27 39 48 54 62 
6 9 16 25 29 36 42 
10 18 21 28 41 47 53 
12 26 33 37 44 52 57 

0 17 29 40 48 53 61 
1 10 15 24 46 51 57 
2 11 20 32 36 52 62 
3 12 16 23 34 47 55 
4 22 25 28 39 45 60 
5 9 18 26 31 35 58 
6 13 19 30 38 44 54 
7 14 21 37 43 50 56 
8 27 33 41 42 49 59 

0 12 19 21 31 36 51 
1 9 14 39 44 53 59 
2 10 17 23 37 45 58 
3 13 18 27 29 52 60 
4 11 26 30 41 48 50 
5 20 28 38 42 55 57 
6 7 24 32 47 49 61 
16 22 33 40 46 54 56 
8 15 25 34 35 43 62 

0 13 20 26 39 43 56 
1 21 33 35 48 55 60 
2 12 18 25 38 46 61 
3 8 17 24 28 36 54 
4 10 16 31 44 49 62 
5 11 19 29 37 47 59 
6 14 22 34 41 51 58 
7 15 23 30 42 52 53 
9 27 32 40 45 50 57 

