0
0 1 2 3 4 5 6 7 
8 9 10 11 12 13 14 15 
16 17 18 19 20 21 22 23 
24 25 26 27 28 29 30 31 
32 33 34 35 36 37 38 39 
40 41 42 43 44 45 46 47 
48 49 50 51 52 53 54 55 
56 57 58 59 60 61 62 63 
64 65 66 67 68 69 70 71 

0 15 23 31 33 44 57 71 
1 19 24 37 40 50 61 70 
2 11 30 32 45 55 58 67 
3 14 18 26 47 49 60 68 
4 9 22 29 39 42 48 64 
5 10 21 28 36 43 54 62 
6 12 16 38 41 53 59 69 
7 13 17 27 34 51 63 66 
8 20 25 35 46 52 56 65 

0 11 22 24 36 46 49 69 
1 10 23 26 42 55 63 65 
2 12 18 31 37 48 62 66 
3 15 28 39 41 51 56 70 
4 17 25 32 43 53 60 71 
5 8 16 27 33 47 50 58 
6 9 19 34 45 52 57 68 
7 14 21 29 35 40 59 67 
13 20 30 38 44 54 61 64 

0 12 21 30 42 52 60 70 
1 8 31 34 43 49 59 64 
2 10 20 27 39 40 53 57 
3 13 16 24 35 45 62 71 
4 11 19 26 33 54 56 66 
5 15 17 29 38 46 55 68 
6 14 22 37 44 51 58 65 
7 23 28 32 47 48 61 69 
9 18 25 36 41 50 63 67 

